cue,target,thisN,thisTrialN,thisRepN,end_guess.keys,guess_reached.keys,end_encoding.keys,guess_reached.rt,guess_reached.duration,end_cued_recall.keys,recall_reached.keys,recall_selection.keys,recall_reached.rt,recall_reached.duration,recall_selection.rt,recall_selection.duration,list_item,kind,living_nonliving.keys,living_nonliving.rt,living_nonliving.duration,end_mapping.keys,break_resp.keys,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,test_practice_trials.thisRepN,test_practice_trials.thisTrialN,test_practice_trials.thisN,test_practice_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,semantic_mapping.thisRepN,semantic_mapping.thisTrialN,semantic_mapping.thisN,semantic_mapping.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,welcome.stopped,instructions1.started,instructions1_text.started,instruction1_key.started,instructions1.stopped,instruction1_key.keys,instruction1_key.rt,instruction1_key.duration,instructions2.started,instructions2_text.started,instruction2_key.started,instructions2.stopped,instruction2_key.keys,instruction2_key.rt,instruction2_key.duration,instructions3.started,instructions3_text.started,instruction3_key.started,instructions3.stopped,instruction3_key.keys,instruction3_key.rt,instruction3_key.duration,instructions4.started,instructions4_text.started,instruction4_key.started,instructions4.stopped,instruction4_key.keys,instruction4_key.rt,instruction4_key.duration,iti_learning_practice.started,ISI_4.started,iti_learning_practice.stopped,guess.started,guess.stopped,practice_trials.end_guess.keys,guess_response.started,guess_response.stopped,practice_trials.guess_reached.keys,feedback_guess.started,feedback_guess.stopped,encode.started,dash_stim_learning.started,cue_stim_learning.started,target_stim.started,end_encoding.started,encode.stopped,practice_trials.end_encoding.keys,dash_stim_guessing.started,cue_stim_guessing.started,guess_stim.started,end_guess.started,dash_stim_guessing_resp.started,cue_stim_guessing_resp.started,guess_stim_resp.started,guess_question.started,guess_reached.started,practice_trials.guess_reached.rt,practice_trials.guess_reached.duration,start_task.started,start_task_text.started,start_key.started,start_task.stopped,start_key.keys,start_key.rt,start_key.duration,iti_learning.started,ISI.started,iti_learning.stopped,learning_trials.end_guess.keys,learning_trials.guess_reached.keys,learning_trials.end_encoding.keys,learning_trials.guess_reached.rt,learning_trials.guess_reached.duration,end_part1.started,end_part1_key.started,end_part1_text.started,end_part1.stopped,end_part1_key.keys,end_part1_key.rt,end_part1_key.duration,instructions_recall.started,recall_instructions_text.started,recall_instructions_key.started,instructions_recall.stopped,recall_instructions_key.keys,recall_instructions_key.rt,recall_instructions_key.duration,iti_recall.started,ISI_2.started,iti_recall.stopped,cued_recall.started,cue_stim_recall.started,dash_stim_recall.started,qmark_target.started,end_cued_recall.started,cue_stim_recall.stopped,dash_stim_recall.stopped,qmark_target.stopped,end_cued_recall.stopped,cued_recall.stopped,test_practice_trials.end_cued_recall.keys,recall_response.started,dash_stim_recall_resp.started,cue_stim_recall_resp.started,recall_stim_resp.started,recall_question.started,recall_reached.started,dash_stim_recall_resp.stopped,cue_stim_recall_resp.stopped,recall_stim_resp.stopped,recall_question.stopped,recall_reached.stopped,recall_response.stopped,test_practice_trials.recall_reached.keys,recall_select.started,recall_select.stopped,test_practice_trials.recall_selection.keys,test_practice_trials.recall_reached.rt,test_practice_trials.recall_reached.duration,dash_stim_recall_select.started,cue_stim_recall_select.started,recall_stim_select.started,recall_question_select.started,recall_selection.started,test_practice_trials.recall_selection.rt,test_practice_trials.recall_selection.duration,test_trials.end_cued_recall.keys,test_trials.recall_reached.keys,test_trials.recall_reached.rt,test_trials.recall_reached.duration,test_trials.recall_selection.keys,test_trials.recall_selection.rt,test_trials.recall_selection.duration,end_part2.started,end_part2_key.started,end_part2_text.started,end_part2.stopped,end_part2_key.keys,end_part2_key.rt,end_part2_key.duration,instructions_semantic_mapping.started,sm_instructions_text.started,sm_instructions_key.started,instructions_semantic_mapping.stopped,sm_instructions_key.keys,sm_instructions_key.rt,sm_instructions_key.duration,iti_mapping.started,ISI_3.started,iti_mapping.stopped,item.started,semantic_map_item.started,living_nonliving.started,end_mapping.started,licing_nonliving_text.started,item.stopped,semantic_mapping.living_nonliving.keys,semantic_mapping.living_nonliving.rt,semantic_mapping.living_nonliving.duration,semantic_mapping.end_mapping.keys,mapping_break.started,mapping_break.stopped,semantic_mapping.break_resp.keys,semantic_map_item.stopped,living_nonliving.stopped,end_mapping.stopped,licing_nonliving_text.stopped,thanks.started,thanks_text.started,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Eingeweide,Organ,0,0,0,None,None,None,,,,,,,,,,,,,,,,,,,,,0,0,0,28,,,,,,,,,,,,,236.62134820001666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.60016370005906,238.600206800038,,238.6020334000932,238.6020725000417,,,,238.6072579000611,238.62086060002912,238.62086060002912,238.62086060002912,238.62086060002912,244.60995110007934,,,,,,,,,,,,,,,,,,,,236.60764659999404,0.008878599968738854,238.59783210000023,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581466,001,2024-12-04_10h30.09.307,learning,2024.2.4,89.61464806997705,2024-12-04 10h30.17.913095 +0100,
Tradition,Weihnachten,1,1,0,None,h,None,2.0809460999444127,0.16372329997830093,,,,,,,,,,,,,,,,,,,0,1,1,45,,,,,,,,,,,,,244.62033370009158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.60227500007022,252.60925660002977,,252.6113038000185,255.60969390009996,,,,255.6132215000689,255.6321973000886,255.6321973000886,255.6321973000886,255.6321973000886,261.60964290006086,,246.62110610003583,246.62110610003583,246.62110610003583,246.62110610003583,252.62025849998463,252.62025849998463,252.62025849998463,252.62025849998463,252.62025849998463,,,,,,,,,,244.61018650000915,0.008129099966026843,246.60032359999605,None,h,None,2.0809460999444127,0.16372329997830093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581466,001,2024-12-04_10h30.09.307,learning,2024.2.4,89.61464806997705,2024-12-04 10h30.17.913095 +0100,
Sitzgurt,Gesetz,2,2,0,None,h,None,1.0952689999248832,0.18285470001865178,,,,,,,,,,,,,,,,,,,0,2,2,21,,,,,,,,,,,,,261.6205613000784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.60240239999257,269.6107211000053,,269.61313060007524,272.60979580006097,,,,272.6129684000043,272.62016660009976,272.62016660009976,272.62016660009976,272.62016660009976,278.6094777000835,,263.6218262000475,263.6218262000475,263.6218262000475,263.6218262000475,269.6332340000663,269.6332340000663,269.6332340000663,269.6332340000663,269.6332340000663,,,,,,,,,,261.6098925000988,0.007835100055672228,263.59997670003213,None,h,None,1.0952689999248832,0.18285470001865178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581466,001,2024-12-04_10h30.09.307,learning,2024.2.4,89.61464806997705,2024-12-04 10h30.17.913095 +0100,
Leistung,Ehre,3,3,0,None,None,None,,,,,,,,,,,,,,,,,,,,,0,3,3,5,,,,,,,,,,,,,278.620303700096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.6019731000997,280.60201670008246,,280.6036171000451,280.6036566999974,,,,280.6064408000093,280.6214498000918,280.6214498000918,280.6214498000918,280.6214498000918,286.61009960004594,,,,,,,,,,,,,,,,,,,,278.6097041000612,0.007645900011993945,280.59982610004954,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581466,001,2024-12-04_10h30.09.307,learning,2024.2.4,89.61464806997705,2024-12-04 10h30.17.913095 +0100,
Gast,Zimmer,4,4,0,None,f,None,1.8253147000214085,0.15656819997821003,,,,,,,,,,,,,,,,,,,0,4,4,14,,,,,,,,,,,,,286.6209025999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.6035884000594,294.6104392000707,,294.61229770001955,297.61085689999163,,,,297.6153400000185,297.6330575000029,297.6330575000029,297.6330575000029,297.6330575000029,303.61009830003604,,288.6211879000766,288.6211879000766,288.6211879000766,288.6211879000766,294.6217854000861,294.6217854000861,294.6217854000861,294.6217854000861,294.6217854000861,,,,,,,,,,286.61035730002914,0.006722800084389746,288.60104470001534,None,f,None,1.8253147000214085,0.15656819997821003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581466,001,2024-12-04_10h30.09.307,learning,2024.2.4,89.61464806997705,2024-12-04 10h30.17.913095 +0100,
Rose,Dorne,5,5,0,None,h,None,1.178650200017728,0.17283029993996024,,,,,,,,,,,,,,,,,,,0,5,5,65,,,,,,,,,,,,,303.6213422000874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.6034284000052,311.61068889999297,,311.6123882000102,314.61099140008446,,,,314.6142404000275,314.63317380007356,314.63317380007356,314.63317380007356,314.63317380007356,320.6105235000141,,305.6210420000134,305.6210420000134,305.6210420000134,305.6210420000134,311.62144710007124,311.62144710007124,311.62144710007124,311.62144710007124,311.62144710007124,,,,,,,,,,303.6103618000634,0.006722500082105398,305.60139570001047,None,h,None,1.178650200017728,0.17283029993996024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581466,001,2024-12-04_10h30.09.307,learning,2024.2.4,89.61464806997705,2024-12-04 10h30.17.913095 +0100,
Vampir,Geist,6,6,0,None,h,None,1.223252100055106,0.1999201999278739,,,,,,,,,,,,,,,,,,,0,6,6,22,,,,,,,,,,,,,320.62167840008624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.6058567999862,328.6100811000215,,328.6119578999933,331.61091430007946,,,,331.61381130001973,331.6331603000872,331.6331603000872,331.6331603000872,331.6331603000872,337.6098340000026,,322.6220084000379,322.6220084000379,322.6220084000379,322.6220084000379,328.62091250007506,328.62091250007506,328.62091250007506,328.62091250007506,328.62091250007506,,,,,,,,,,320.61074690008536,0.007105600088834763,322.6018795000855,None,h,None,1.223252100055106,0.1999201999278739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581466,001,2024-12-04_10h30.09.307,learning,2024.2.4,89.61464806997705,2024-12-04 10h30.17.913095 +0100,
Schauspielerin,Frau,7,7,0,None,g,None,1.2499802999664098,0.13997579994611442,,,,,,,,,,,,,,,,,,,0,7,7,66,,,,,,,,,,,,,337.62068380007986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.6032654000446,345.6106930000242,,345.61292800004594,348.61039729998447,,,,348.613278200035,348.62097460008226,348.62097460008226,348.62097460008226,348.62097460008226,354.61150009999983,,339.6223007000517,339.6223007000517,339.6223007000517,339.6223007000517,345.6209126000758,345.6209126000758,345.6209126000758,345.6209126000758,345.6209126000758,,,,,,,,,,337.61005970009137,0.006417900091037154,339.60011920006946,None,g,None,1.2499802999664098,0.13997579994611442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581466,001,2024-12-04_10h30.09.307,learning,2024.2.4,89.61464806997705,2024-12-04 10h30.17.913095 +0100,
Insel,Meer,8,8,0,None,None,None,,,,,,,,,,,,,,,,,,,,,0,8,8,34,,,,,,,,,,,,,354.62218830001075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.60334890009835,356.6033933000872,,356.6048212000169,356.6048600000795,,,,356.60797130002175,356.62205070001073,356.62205070001073,356.62205070001073,356.62205070001073,362.61065350007266,,,,,,,,,,,,,,,,,,,,354.6117579001002,0.008116300101391971,356.60138720006216,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581466,001,2024-12-04_10h30.09.307,learning,2024.2.4,89.61464806997705,2024-12-04 10h30.17.913095 +0100,
Bar,Alkohol,9,9,0,None,None,None,,,,,,,,,,,,,,,,,,,,,0,9,9,51,,,,,,,,,,,,,362.62244340009056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.6041142999893,364.6041611999972,,364.6054620000068,364.6055048000999,,,,364.6082069000695,364.62201130005997,364.62201130005997,364.62201130005997,364.62201130005997,370.61154020007234,,,,,,,,,,,,,,,,,,,,362.6108738000039,0.0060310999397188425,364.6022140000714,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581466,001,2024-12-04_10h30.09.307,learning,2024.2.4,89.61464806997705,2024-12-04 10h30.17.913095 +0100,
